velocity_x_actual,speedx,speedy,steeringangle,z_orientation,z,x,y,w
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
0.000000, 0.000000, 0.000000, -0.000000,0.400172, 0.400172, 0.000000, 0.000000, -0.916440
