MC,CI,DC,RPM,ED,ER,VI,velocity_x_theoretical
0.250000, 0.000000, 0.000000, -185.000000,0.454800, 0.001600, 11.700000, -0.035967
0.240000, 0.000000, 0.000000, -184.000000,0.454800, 0.001600, 11.800000, -0.035773
0.260000, 0.000000, 0.000000, -177.000000,0.454800, 0.001600, 11.800000, -0.034412
0.250000, 0.000000, 0.000000, -180.000000,0.454800, 0.001600, 11.700000, -0.034995
0.190000, 0.000000, 0.000000, -181.000000,0.454800, 0.001600, 11.700000, -0.035189
-0.230000, 0.000000, 0.000000, -186.000000,0.454800, 0.001600, 11.800000, -0.036161
-0.260000, 0.000000, 0.000000, -192.000000,0.454800, 0.001600, 11.700000, -0.037328
-0.250000, 0.000000, 0.000000, -197.000000,0.454800, 0.001600, 11.800000, -0.038300
-0.270000, 0.000000, 0.000000, -206.000000,0.454800, 0.001600, 11.800000, -0.040050
-0.260000, 0.000000, 0.000000, -207.000000,0.454800, 0.001600, 11.700000, -0.040244
-0.280000, 0.000000, 0.000000, -211.000000,0.454800, 0.001600, 11.800000, -0.041022
-0.170000, 0.000000, 0.000000, -208.000000,0.454800, 0.001600, 11.800000, -0.040439
0.260000, 0.000000, 0.000000, -205.000000,0.454800, 0.001600, 11.800000, -0.039855
0.260000, 0.000000, 0.000000, -200.000000,0.454800, 0.001600, 11.800000, -0.038883
0.260000, 0.000000, 0.000000, -193.000000,0.454800, 0.001600, 11.800000, -0.037522
0.240000, 0.000000, 0.000000, -188.000000,0.454800, 0.001600, 11.700000, -0.036550
0.270000, 0.000000, 0.000000, -185.000000,0.454800, 0.001600, 11.600000, -0.035967
0.270000, 0.000000, 0.000000, -179.000000,0.454800, 0.001600, 11.700000, -0.034801
0.260000, 0.000000, 0.000000, -178.000000,0.454800, 0.001600, 11.800000, -0.034606
0.240000, 0.000000, 0.000000, -181.000000,0.454800, 0.001600, 11.700000, -0.035189
-0.040000, 0.000000, 0.000000, -182.000000,0.454800, 0.001600, 11.700000, -0.035384
-0.260000, 0.000000, 0.000000, -188.000000,0.454800, 0.001600, 11.800000, -0.036550
-0.260000, 0.000000, 0.000000, -195.000000,0.454800, 0.001600, 11.800000, -0.037911
-0.070000, 0.000000, -0.001000, -190.000000,0.454800, 0.001600, 11.700000, -0.036939
0.000000, 0.000000, 0.000000, -171.000000,0.454800, 0.001600, 11.800000, -0.033245
-0.010000, 0.000000, -0.001000, -157.000000,0.454800, 0.001600, 11.800000, -0.030523
0.000000, 0.000000, -0.001000, -143.000000,0.454800, 0.001600, 11.800000, -0.027802
0.000000, 0.000000, -0.001000, -129.000000,0.454800, 0.001600, 11.700000, -0.025080
0.000000, 0.000000, -0.001000, -115.000000,0.454800, 0.001600, 11.700000, -0.022358
