roll,pitch,yaw,ax,ay,az,wx,wy,wz,x_q,y_q,z_q,w_q,roll_xi,pitch_yi,yaw_zi,velocity_y
3.675600, -2.438020, -30.679540, 0.044434,-0.066895, 1.038086, 0.732422, 0.610352, 0.305176, 0.025296, 0.028988,-0.263689,-0.963840,-0.064151,-0.042551,0.535459, 0.000000
3.736414, -2.449430, -30.685721, 0.044922,-0.068848, 1.032715, 0.671387, 0.549316, 0.183105, 0.025779, 0.029225,-0.263721,-0.963811,-0.065213,-0.042751,0.535567, 0.000000
3.777732, -2.494828, -30.690731, 0.047852,-0.070801, 1.039551, 0.000000, 0.244141, 0.183105, 0.026020, 0.029703,-0.263738,-0.963786,-0.065934,-0.043543,0.535654, 0.000000
3.843876, -2.454403, -30.696441, 0.044434,-0.070312, 1.038574, 0.000000, 0.122070, 0.122070, 0.026669, 0.029517,-0.263782,-0.963762,-0.067088,-0.042837,0.535754, 0.000000
3.847438, -2.481304, -30.700765, 0.047852,-0.065918, 1.039551, -0.183105, 0.244141, 0.183105, 0.026635, 0.029752,-0.263809,-0.963748,-0.067150,-0.043307,0.535829, 0.000000
3.830614, -2.409261, -30.703640, 0.042480,-0.069336, 1.035645, 0.732422, 0.488281, 0.305176, 0.026660, 0.029108,-0.263861,-0.963753,-0.066857,-0.042050,0.535880, 0.000000
3.849257, -2.539406, -30.706526, 0.049316,-0.071289, 1.038086, 0.366211, 0.427246, 0.061035, 0.026515, 0.030246,-0.263838,-0.963728,-0.067182,-0.044321,0.535930, 0.000000
3.832458, -2.490453, -30.709637, 0.045410,-0.070801, 1.038574, 0.366211, 0.427246, 0.244141, 0.026486, 0.029796,-0.263884,-0.963730,-0.066889,-0.043467,0.535984, 0.000000
3.822125, -2.568047, -30.713226, 0.047852,-0.069824, 1.041504, -0.305176, 0.122070, 0.183105, 0.026218, 0.030426,-0.263892,-0.963716,-0.066709,-0.044821,0.536047, 0.000000
3.843981, -2.501940, -30.716317, 0.043457,-0.070312, 1.035156, 0.549316, 0.427246, 0.122070, 0.026554, 0.029921,-0.263934,-0.963711,-0.067090,-0.043667,0.536101, 0.000000
3.724949, -2.474406, -30.715982, 0.045898,-0.064453, 1.035645, 0.610352, 0.427246, 0.122070, 0.025617, 0.029415,-0.263971,-0.963742,-0.065013,-0.043187,0.536095, 0.000000
3.678045, -2.362715, -30.716361, 0.042480,-0.066406, 1.034668, 0.610352, 0.610352, 0.122070, 0.025481, 0.028368,-0.264022,-0.963763,-0.064194,-0.041237,0.536102, 0.000000
3.754138, -2.500338, -30.721993, 0.047363,-0.068359, 1.039551, -0.122070, 0.061035, 0.183105, 0.025801, 0.029702,-0.264005,-0.963719,-0.065522,-0.043639,0.536200, 0.000000
3.736278, -2.590448, -30.724342, 0.047363,-0.067871, 1.038086, -0.061035, 0.122070, 0.061035, 0.025442, 0.030419,-0.264001,-0.963707,-0.065210,-0.045212,0.536241, 0.000000
3.769429, -2.431544, -30.727184, 0.041016,-0.068848, 1.037109, 0.244141, 0.183105, 0.183105, 0.026088, 0.029160,-0.264068,-0.963710,-0.065789,-0.042438,0.536290, 0.000000
3.790002, -2.481905, -30.730527, 0.043457,-0.064453, 1.037598, 0.732422, 0.549316, 0.061035, 0.026143, 0.029632,-0.264074,-0.963693,-0.066148,-0.043317,0.536349, 0.000000
3.686776, -2.437961, -30.728540, 0.043457,-0.065430, 1.034668, 0.732422, 0.610352, 0.122070, 0.025377, 0.029024,-0.264098,-0.963725,-0.064346,-0.042550,0.536314, 0.000000
3.749669, -2.448049, -30.733922, 0.045410,-0.069336, 1.041992, -0.061035, 0.366211, 0.122070, 0.025882, 0.029255,-0.264124,-0.963697,-0.065444,-0.042727,0.536408, 0.000000
3.690688, -2.483651, -30.733437, 0.045898,-0.064941, 1.038086, -0.061035, 0.183105, 0.122070, 0.025303, 0.029418,-0.264123,-0.963708,-0.064415,-0.043348,0.536400, 0.000000
3.636198, -2.546566, -30.734861, 0.048828,-0.065430, 1.042480, -0.061035, 0.122070, 0.244141, 0.024699, 0.029822,-0.264129,-0.963710,-0.063464,-0.044446,0.536425, 0.000000
3.702624, -2.518363, -30.740346, 0.045898,-0.066895, 1.032715, 0.732422, 0.427246, 0.122070, 0.025321, 0.029739,-0.264167,-0.963686,-0.064623,-0.043954,0.536520, 0.000000
